Participant,Interaction,Hand,Bone,X,Y,Z,Time
3,1,L,l_pinky_finger_tip_marker,0.04035014,2.148248,-0.1104308,117.2481
3,1,R,b_r_wrist,0.2053564,2.029711,-0.1675449,117.2481
3,1,R,b_r_forearm_stub,0.2053564,2.029711,-0.1675449,117.2481
3,1,R,b_r_thumb0,0.2122434,2.053823,-0.1633488,117.2481
3,1,R,b_r_thumb1,0.2268034,2.07363,-0.159699,117.2481
3,1,R,b_r_thumb2,0.2381348,2.104105,-0.1597455,117.2481
3,1,R,b_r_thumb3,0.2443066,2.136934,-0.1546351,117.2481
3,1,R,b_r_index1,0.220356,2.109091,-0.1101239,117.2481
3,1,R,b_r_index2,0.2194497,2.142072,-0.0914173,117.2481
3,1,R,b_r_index3,0.2179877,2.164461,-0.08207669,117.2481
3,1,R,b_r_middle1,0.1997594,2.102024,-0.1051175,117.2481
3,1,R,b_r_middle2,0.1945658,2.13622,-0.07969443,117.2481
3,1,R,b_r_middle3,0.1904399,2.16069,-0.06772817,117.2481
3,1,R,b_r_ring1,0.1807171,2.096291,-0.1112049,117.2481
3,1,R,b_r_ring2,0.1749807,2.127275,-0.08823147,117.2481
3,1,R,b_r_ring3,0.1710636,2.151015,-0.07695197,117.2481
3,1,R,b_r_pinky0,0.1786983,2.057079,-0.1496843,117.2481
3,1,R,b_r_pinky1,0.1629784,2.090084,-0.1223432,117.2481
3,1,R,b_r_pinky2,0.1547994,2.112351,-0.102824,117.2481
3,1,R,b_r_pinky3,0.1493085,2.130858,-0.09650626,117.2481
3,1,R,r_thumb_finger_tip_marker,0.2536262,2.159723,-0.154489,117.2481
3,1,R,r_index_finger_tip_marker,0.2157523,2.183215,-0.07005342,117.2481
3,1,R,r_middle_finger_tip_marker,0.1865835,2.179736,-0.05201134,117.2481
3,1,R,r_ring_finger_tip_marker,0.168557,2.172262,-0.06525983,117.2481
3,1,R,r_pinky_finger_tip_marker,0.1457262,2.151255,-0.08920888,117.2481
3,1,L,b_l_wrist,-0.03720914,2.034369,-0.1828849,131.4763
3,1,L,b_l_forearm_stub,-0.03720914,2.034369,-0.1828849,131.4763
3,1,L,b_l_thumb0,-0.03987907,2.05961,-0.1843713,131.4763
3,1,L,b_l_thumb1,-0.05299868,2.080712,-0.1838974,131.4763
3,1,L,b_l_thumb2,-0.06305471,2.111403,-0.1876483,131.4763
3,1,L,b_l_thumb3,-0.07044424,2.144373,-0.1871086,131.4763
3,1,L,b_l_index1,-0.0352627,2.126232,-0.1457268,131.4763
3,1,L,b_l_index2,-0.03038923,2.156946,-0.1240155,131.4763
3,1,L,b_l_index3,-0.02629024,2.177914,-0.1124297,131.4763
3,1,L,b_l_middle1,-0.01573047,2.117105,-0.1398607,131.4763
3,1,L,b_l_middle2,-0.007012679,2.149355,-0.1129041,131.4763
3,1,L,b_l_middle3,-0.0008773962,2.170802,-0.09673719,131.4763
3,1,L,b_l_ring1,0.001672951,2.106957,-0.145026,131.4763
3,1,L,b_l_ring2,0.009043576,2.135989,-0.1200551,131.4763
3,1,L,b_l_ring3,0.0142559,2.155991,-0.103355,131.4763
3,1,L,b_l_pinky0,-0.005334615,2.060162,-0.1730147,131.4763
3,1,L,b_l_pinky1,0.01734938,2.095411,-0.1549345,131.4763
3,1,L,b_l_pinky2,0.02633704,2.116063,-0.1340429,131.4763
3,1,L,b_l_pinky3,0.03380844,2.131501,-0.1231614,131.4763
3,1,L,l_thumb_finger_tip_marker,-0.08350102,2.165101,-0.189577,131.4763
3,1,L,l_index_finger_tip_marker,-0.02127577,2.196438,-0.1008983,131.4763
3,1,L,l_middle_finger_tip_marker,0.004184578,2.186778,-0.07819574,131.4763
3,1,L,l_ring_finger_tip_marker,0.01764012,2.172668,-0.08589505,131.4763
3,1,L,l_pinky_finger_tip_marker,0.03970839,2.147331,-0.1091363,131.4763
3,1,R,b_r_wrist,0.2051136,2.029751,-0.1679589,131.4763
3,1,R,b_r_forearm_stub,0.2051136,2.029751,-0.1679589,131.4763
3,1,R,b_r_thumb0,0.2120554,2.053833,-0.1636791,131.4763
3,1,R,b_r_thumb1,0.2268324,2.073451,-0.1598798,131.4763
3,1,R,b_r_thumb2,0.2385734,2.103768,-0.159573,131.4763
3,1,R,b_r_thumb3,0.2446714,2.136553,-0.1541018,131.4763
3,1,R,b_r_index1,0.2201837,2.108932,-0.1102819,131.4763
3,1,R,b_r_index2,0.2193303,2.141834,-0.09143505,131.4763
3,1,R,b_r_index3,0.2179873,2.164019,-0.08160145,131.4763
3,1,R,b_r_middle1,0.1995555,2.101907,-0.1053468,131.4763
3,1,R,b_r_middle2,0.194343,2.136184,-0.08003549,131.4763
3,1,R,b_r_middle3,0.1902591,2.160545,-0.06783608,131.4763
3,1,R,b_r_ring1,0.1805131,2.096243,-0.1114977,131.4763
3,1,R,b_r_ring2,0.1749593,2.127302,-0.08858149,131.4763
3,1,R,b_r_ring3,0.1711655,2.15091,-0.07698666,131.4763
3,1,R,b_r_pinky0,0.1784849,2.057142,-0.15009,131.4763
3,1,R,b_r_pinky1,0.1627858,2.090114,-0.1226977,131.4763
3,1,R,b_r_pinky2,0.1548792,2.112288,-0.1029602,131.4763
3,1,R,b_r_pinky3,0.149558,2.130767,-0.09642057,131.4763
3,1,R,r_thumb_finger_tip_marker,0.2544333,2.159154,-0.1537829,131.4763
3,1,R,r_index_finger_tip_marker,0.2158423,2.182543,-0.0692108,131.4763
3,1,R,r_middle_finger_tip_marker,0.1864253,2.179451,-0.05194514,131.4763
3,1,R,r_ring_finger_tip_marker,0.1687695,2.171989,-0.06497212,131.4763
3,1,R,r_pinky_finger_tip_marker,0.1461527,2.151095,-0.08885267,131.4763
3,1,L,b_l_wrist,-0.03692555,2.034722,-0.1827079,185.797
3,1,L,b_l_forearm_stub,-0.03692555,2.034722,-0.1827079,185.797
3,1,L,b_l_thumb0,-0.03962537,2.059956,-0.1842636,185.797
3,1,L,b_l_thumb1,-0.05299133,2.080899,-0.1836514,185.797
3,1,L,b_l_thumb2,-0.0634803,2.111483,-0.1870751,185.797
3,1,L,b_l_thumb3,-0.07147161,2.144306,-0.1862125,185.797
